,客户风险能力类型,新老客户种类,性别,(固定基金比例)波动率,(固定基金比例)夏普率,(固定基金比例)平均年化利率,(按月调整基金比例)波动率,(按月调整基金比例)夏普率,(按月调整基金比例)平均年化利率,(按月马科维茨)波动率,(按月马科维茨)夏普率,(按月马科维茨)平均年化利率,基金1,基金2,基金3
0,C5进取型(81-100),新客户,男,0.121529886,31.69300365,3.851647109,0.114400364,33.56632265,3.839999535,0.155435145,25.03344146,3.891076608,3.922642934,4.010616983,4.367626198
1,C5进取型(81-100),新客户,女,0.12003559,31.97144195,3.837710891,0.112995433,33.8616443,3.82621117,0.153596129,25.2392411,3.876649742,3.922642934,4.010616983,4.367626198
2,C5进取型(81-100),增1老客户,男,0.10370949,38.21729731,3.9634964,0.128899138,31.39785293,4.047156177,0.179679197,22.85411903,4.10640976,3.922642934,4.010616983,4.367626198
3,C5进取型(81-100),增1老客户,女,0.103176238,38.34907689,3.956713483,0.128240232,31.50594627,4.040329845,0.17879247,22.92755246,4.099273731,3.922642934,4.010616983,4.367626198
4,C5进取型(81-100),增2老客户,男,0.257980757,15.55214774,4.012154847,0.127754409,31.66889887,4.045841445,0.17880822,22.96277314,4.105932586,3.922642934,4.010616983,4.367626198
5,C5进取型(81-100),增2老客户,女,0.256650683,15.60535729,4.005125602,0.127103591,31.77740083,4.039021768,0.177926942,23.0364155,4.098798972,3.922642934,4.010616983,4.367626198
6,C4成长型(61-80),新客户,男,0.118575713,32.25091905,3.824175735,0.111596639,34.16265349,3.812437313,0.151761254,25.44944017,3.862238944,3.922642934,4.010616983,4.367626198
7,C4成长型(61-80),新客户,女,0.117080889,32.54030008,3.809847253,0.110190297,34.47340003,3.798634204,0.149921376,25.66542556,3.847795924,3.922642934,4.010616983,4.367626198
8,C4成长型(61-80),增1老客户,男,0.103389872,38.29431959,3.959244804,0.128501655,31.4630173,4.043049797,0.179146041,22.89817005,4.102116514,3.922642934,4.010616983,4.367626198
9,C4成长型(61-80),增1老客户,女,0.102880228,38.42623399,3.953299711,0.12784868,31.57060702,4.036260442,0.178262092,22.97191314,4.095021289,3.922642934,4.010616983,4.367626198
10,C4成长型(61-80),增2老客户,男,0.257181313,15.58337831,4.007753695,0.127361783,31.73431631,4.041739106,0.178278259,23.00696016,4.101640806,3.922642934,4.010616983,4.367626198
11,C4成长型(61-80),增2老客户,女,0.255855227,15.63991294,4.001553477,0.126716537,31.8423841,4.034956644,0.177399795,23.08090644,4.094548083,3.922642934,4.010616983,4.367626198
12,C3平衡性(41-60),新客户,男,0.115591167,32.83910995,3.795911035,0.108790236,34.79030834,3.784845839,0.148085725,25.88614849,3.833369059,3.922642934,4.010616983,4.367626198
13,C3平衡性(41-60),新客户,女,0.114103091,33.14524409,3.781974817,0.107391924,35.1149075,3.771057475,0.146251279,26.11219688,3.818942193,3.922642934,4.010616983,4.367626198
14,C3平衡性(41-60),增1老客户,男,0.103075758,38.37400826,3.955429971,0.128108349,31.52773363,4.038965888,0.178614993,22.94235178,4.097848004,3.922642934,4.010616983,4.367626198
15,C3平衡性(41-60),增1老客户,女,0.102560894,38.50442361,3.949048115,0.127451447,31.63678534,4.032154063,0.177729106,23.01664675,4.090728042,3.922642934,4.010616983,4.367626198
16,C3平衡性(41-60),增2老客户,男,0.256384623,15.61633949,4.003789306,0.126973239,31.79929304,4.037659237,0.177750509,23.05126322,4.097373763,3.922642934,4.010616983,4.367626198
17,C3平衡性(41-60),增2老客户,女,0.255055898,15.67167182,3.997152326,0.126324163,31.90881472,4.030854306,0.176870005,23.12577701,4.090256303,3.922642934,4.010616983,4.367626198
18,C2稳健型(25-40),新客户,男,0.112649677,33.45273384,3.76843966,0.105999877,35.44611299,3.757283617,0.14442103,26.34333372,3.804531394,3.922642934,4.010616983,4.367626198
19,C2稳健型(25-40),新客户,女,0.111161544,33.77167176,3.754111178,0.104600816,35.7882533,3.743480508,0.14258619,26.58103406,3.790088375,3.922642934,4.010616983,4.367626198
20,C2稳健型(25-40),增1老客户,男,0.102761746,38.45414562,3.951615138,0.127715125,31.59282809,4.034881978,0.178084,22.98678994,4.093579495,3.922642934,4.010616983,4.367626198
21,C2稳健型(25-40),增1老客户,女,0.102247057,38.58529933,3.945233282,0.127058365,31.70251845,4.028070153,0.177198207,23.06151744,4.086459532,3.922642934,4.010616983,4.367626198
22,C2稳健型(25-40),增2老客户,男,0.255587974,15.64950362,3.999824917,0.126584779,31.86464764,4.033579368,0.177222813,23.09582298,4.09310672,3.922642934,4.010616983,4.367626198
23,C2稳健型(25-40),增2老客户,女,0.25425932,15.70517825,3.993187936,0.125935845,31.97480773,4.026774437,0.176342404,23.17076985,4.08598926,3.922642934,4.010616983,4.367626198
24,C1保守型(0-25),新客户,男,0.109678804,34.1011646,3.74017496,0.103208187,36.137561,3.729692143,0.140755648,26.82422733,3.775661509,3.922642934,4.010616983,4.367626198
25,C1保守型(0-25),新客户,女,0.108197993,34.43907451,3.726238742,0.101817607,36.49568954,3.715903779,0.138926511,27.07355573,3.761234643,3.922642934,4.010616983,4.367626198
26,C1保守型(0-25),增1老客户,男,0.102465875,38.53186592,3.948201366,0.127323677,31.65799691,4.030812575,0.177553689,23.03149584,4.089327053,3.922642934,4.010616983,4.367626198
27,C1保守型(0-25),增1老客户,女,0.101933324,38.66663309,3.941418449,0.126665368,31.76863827,4.023986243,0.176667364,23.10665048,4.082191023,3.922642934,4.010616983,4.367626198
28,C1保守型(0-25),增2老客户,男,0.254792575,15.6843377,3.996252792,0.126197828,31.93013931,4.029514244,0.176695734,23.14065963,4.088855831,3.922642934,4.010616983,4.367626198
29,C1保守型(0-25),增2老客户,女,0.253462784,15.73889265,3.989223547,0.125547613,32.04118716,4.022694568,0.175814859,23.2160253,4.081722217,3.922642934,4.010616983,4.367626198
