,客户风险能力类型,新老客户种类,性别,(固定基金比例)最大回撤,(固定基金比例)平均年化利率,(按月调整基金比例)最大回撤,(按月调整基金比例)平均年化利率,基金1,基金2,基金3
0,C5进取型(81-100),新客户,男,,3.17741440826,,3.19211451504,4.267712727272728,4.341091301652895,4.1111548760330585
1,C5进取型(81-100),新客户,女,,3.14206952881,,3.15658814302,4.267712727272728,4.341091301652895,4.1111548760330585
2,C5进取型(81-100),增1老客户,男,,3.76920218927,,3.77537504215,4.267712727272728,4.341091301652895,4.1111548760330585
3,C5进取型(81-100),增1老客户,女,,3.75103827734,,3.7575579737,4.267712727272728,4.341091301652895,4.1111548760330585
4,C5进取型(81-100),增2老客户,男,,3.8178606361,,3.77406030974,4.267712727272728,4.341091301652895,4.1111548760330585
5,C5进取型(81-100),增2老客户,女,,3.79945039683,,3.75624989696,4.267712727272728,4.341091301652895,4.1111548760330585
6,C4成长型(61-80),新客户,男,,3.10712571105,,3.12107627825,4.267712727272728,4.341091301652895,4.1111548760330585
7,C4成长型(61-80),新客户,女,,3.07138856731,,3.0855351613,4.267712727272728,4.341091301652895,4.1111548760330585
8,C4成长型(61-80),增1老客户,男,,3.7581589058,,3.76468086068,4.267712727272728,4.341091301652895,4.1111548760330585
9,C4成长型(61-80),增1老客户,女,,3.74077130333,,3.74688970255,4.267712727272728,4.341091301652895,4.1111548760330585
10,C4成长型(61-80),增2老客户,男,,3.80666779674,,3.76337016921,4.267712727272728,4.341091301652895,4.1111548760330585
11,C4成长型(61-80),增2老客户,女,,3.78902506952,,3.74558590445,4.267712727272728,4.341091301652895,4.1111548760330585
12,C3平衡性(41-60),新客户,男,,3.03604368785,,3.05000878928,4.267712727272728,4.341091301652895,4.1111548760330585
13,C3平衡性(41-60),新客户,女,,3.0006988084,,3.01448241727,4.267712727272728,4.341091301652895,4.1111548760330585
14,C3平衡性(41-60),增1老客户,男,,3.74749087009,,3.75399808229,4.267712727272728,4.341091301652895,4.1111548760330585
15,C3平衡性(41-60),增1老客户,女,,3.72972801986,,3.73619552108,4.267712727272728,4.341091301652895,4.1111548760330585
16,C3平衡性(41-60),增2老客户,男,,3.79585020514,,3.75269143176,4.267712727272728,4.341091301652895,4.1111548760330585
17,C3平衡性(41-60),增2老客户,女,,3.77783223017,,3.73489576392,4.267712727272728,4.341091301652895,4.1111548760330585
18,C2稳健型(25-40),新客户,男,,2.96575499064,,2.9789705525,4.267712727272728,4.341091301652895,4.1111548760330585
19,C2稳健型(25-40),新客户,女,,2.93001784689,,2.94342943554,4.267712727272728,4.341091301652895,4.1111548760330585
20,C2稳健型(25-40),增1老客户,男,,3.73682283437,,3.7433153039,4.267712727272728,4.341091301652895,4.1111548760330585
21,C2稳健型(25-40),增1老客户,女,,3.71905998414,,3.72551274269,4.267712727272728,4.341091301652895,4.1111548760330585
22,C2稳健型(25-40),增2老客户,男,,3.78503261355,,3.74201269431,4.267712727272728,4.341091301652895,4.1111548760330585
23,C2稳健型(25-40),增2老客户,女,,3.76701463857,,3.72421702648,4.267712727272728,4.341091301652895,4.1111548760330585
24,C1保守型(0-25),新客户,男,,2.89467296744,,2.90790306353,4.267712727272728,4.341091301652895,4.1111548760330585
25,C1保守型(0-25),新客户,女,,2.85932808798,,2.87237669152,4.267712727272728,4.341091301652895,4.1111548760330585
26,C1保守型(0-25),增1老客户,男,,3.72655586036,,3.73264703275,4.267712727272728,4.341091301652895,4.1111548760330585
27,C1保守型(0-25),增1老客户,女,,3.70839194843,,3.7148299643,4.267712727272728,4.341091301652895,4.1111548760330585
28,C1保守型(0-25),增2老客户,男,,3.77460728624,,3.73134870181,4.267712727272728,4.341091301652895,4.1111548760330585
29,C1保守型(0-25),增2老客户,女,,3.75619704698,,3.71353828903,4.267712727272728,4.341091301652895,4.1111548760330585
